序号,原文件名,网站文件名,卡片标题,来源显示,来源链接,Pinterest/原始未核实
"1","1.jpg","plan-ref-01-pinterest-residential-garden-plan.webp","Pinterest Residential Garden Plan","Pinterest 链接","https://www.pinterest.com/pin/415246028158906473/","是"
"2","2.png","plan-ref-02-bkd-courtyard-landscape-plan.webp","BKD Courtyard Landscape Plan","Michael Ecran","https://www.michaelecran.be/portfolio/project-bkd?utm_source=Pinterest&utm_medium=organic","否"
"3","3.jpg","plan-ref-03-pinterest-forest-site-plan.webp","Pinterest Forest Site Plan","Pinterest 链接","https://www.pinterest.com/pin/986780968358135993/","是"
"4","4.jpg","plan-ref-04-tirana-green-corridor-plan.webp","Tirana Green Corridor Plan","ArchDaily","https://www.archdaily.com/805105/tirana-2030-watch-how-nature-and-urbanism-will-co-exist-in-the-albanian-capital","否"
"5","5.jpg","plan-ref-05-oude-landen-landscape-strategy-plan.webp","Oude Landen Landscape Strategy Plan","Felixx Landscape Architects","https://www.felixx.nl/projects/oude-landen-antwerpen.html","否"
"6","6.jpg","plan-ref-06-railroad-zone-urban-plan.webp","Railroad Zone Urban Plan","Felixx Landscape Architects","https://www.felixx.nl/projects/railroad-zone-amsterdam.html","否"
"7","7.jpg","plan-ref-07-marconi-green-network-plan-01.webp","Marconi Green Network Plan 01","Professione Architetto","https://www.professionearchitetto.it/news/notizie/32080/Reinventare-Roma-una-nuova-impronta-per-il-quartiere-Marconi-arriva-dai-giovanissimi-di-Informale-e-Superfioi","否"
"8","8.jpg","plan-ref-08-marconi-pocket-park-plan-02.webp","Marconi Pocket Park Plan 02","Professione Architetto","https://www.professionearchitetto.it/news/notizie/32080/Reinventare-Roma-una-nuova-impronta-per-il-quartiere-Marconi-arriva-dai-giovanissimi-di-Informale-e-Superfioi","否"
"9","9.jpg","plan-ref-09-golden-waterfront-masterplan-board.webp","Golden Waterfront Masterplan Board","TerraViva Competitions","https://www.terravivacompetitions.com/golden-waterfront-competition-results-2023/","否"
"10","10.jpg","plan-ref-10-golden-waterfront-living-landscapes-board.webp","Golden Waterfront Living Landscapes Board","TerraViva Competitions","https://www.terravivacompetitions.com/golden-waterfront-competition-results-2023/","否"
"11","11.jpg","plan-ref-11-forestrand-waterfront-masterplan.webp","Forestrand Waterfront Masterplan","Europan Europe","https://www.europan-europe.eu/fr/project-and-processes/once-upon-a-time-in-forestrand","否"